TYPE	NUMBER	KEYWORD	ORGANIC	URL	TITLE	DESCRIPTION	PAGE	FLAG_HACKED	FLAG_HARMFUL	STAT_RESULTCOUNT
result	79	statistics	organic	http://www.oecd-ilibrary.org/statistics	All Statistics - OECD iLibrary	This page introduces various OECD statistical content including databases, key tables and statistical publications.	1	0	0	1430000000
result	80	statistics	organic	https://www.iea.org/statistics/	Statistics - International Energy Agency	World Energy Statistics 2017 · World Energy Balances 2017 · Energy Efficiency Indicators Highlights 2017 · Oil Information 2017 · Coal Information 2017 · Natural Gas Information 2017 · Electricity Information 2017 · Renewables Information 2017 · CO2 Emissions from Fuel Combustion · Energy Prices and Taxes · Oil, Gas, ...	1	0	0	1430000000
result	81	statistics	organic	https://www.bls.gov/	U.S. Bureau of Labor Statistics Latest Numbers	Consumer Price Index (CPI): +0.5% in Jan 2018 News Release Historical Data. Unemployment Rate: 4.1% in Feb 2018 News Release Historical Data · Payroll Employment: +313,000(p) in Feb 2018 News Release Historical Data. Average Hourly Earnings: +$0.04(p) in Feb 2018 News Release Historical Data · Producer ...	1	0	0	1430000000
result	82	statistics	organic	https://nces.ed.gov/	National Center for Education Statistics (NCES) Home Page, a part of ...	The National Center for Education Statistics (NCES) collects, analyzes and makes available data related to education in the U.S. and other nations.	1	0	0	1430000000
result	83	statistics	organic	https://www.bjs.gov/	Bureau of Justice Statistics (BJS)	Statistics about - Crime and victims, Drugs and crime, Criminal offenders, The justice system in the United States, Law enforcement, Prosecution, Courts and sentencing, Corrections, Justice expenditure and employment.	1	0	0	1430000000
result	84	statistics	organic	https://www.cdc.gov/nchs/index.htm	CDC - NCHS - National Center for Health Statistics	Mar 1, 2018 - Homepage of the National Center for Health Statistics.	1	0	0	1430000000
result	85	statistics	organic	https://www.stat.tamu.edu/	Home - Dept. of Statistics, Texas A&M University	Mar 5, 2018 - The Climate, Diversity and Inclusion Scholarship for Undergraduates is established to recognize and help first-generation statistics undergraduates through their accomplishments and initiatives. Congratulations to our recipients for Spring 2018, Israel Guerra and Jose Alfaro!	1	0	0	1430000000
result	86	statistics	organic	http://www.stat.purdue.edu/	Purdue University - Department of Statistics - Home	This is the official Web site of Purdue University, home of the Boilermakers, alma mater of the first and last men to walk on the moon, and proud member of the Big Ten Conference. Perennially ranked among the nation's top public universities and research institutions, Purdue serves as Indiana's land-, sea-, and space-grant ...	1	0	0	1430000000
result	87	statistics	organic	https://statistics.yale.edu/	Department of Statistics and Data Science: Welcome	The Department of Statistics and Data Science at Yale University consists of 15 faculty members, 3 staff, 37 graduate students, and 60 undergraduate majors. We offer M.A. and Ph.D. programs, as well as an undergraduate major in Statistics. We have active research programs in statistical information theory, statistical ...	1	0	0	1430000000
result	88	statistics	organic	https://www.dol.gov/general/topic/statistics	Statistics | United States Department of Labor	Bureau of Labor Statistics. The Department's principal fact-finding agency for the federal government in the field of labor, economics, and statistics; Provides data on employment, wages, inflation, productivity, and many other topics. Occupational Safety and Health Administration (OSHA). Regularly provides statistics on ...	1	0	0	1430000000
result	89	statistics	organic	https://cleanvehiclerebate.org/eng/rebate-statistics	CVRP Rebate Statistics | Clean Vehicle Rebate Project	Not all plug-in hybrid, all-battery and fuel-cell electric vehicles sold/leased in the state are captured in this database. Not every eligible vehicle owner applies to the CVRP, and not every clean vehicle is eligible for the rebate.* Over the first five years of the program, roughly three-quarters (>74%) of eligible purchases and ...	1	0	0	1430000000
result	90	statistics	organic	https://www.rainn.org/statistics	Statistics | RAINN	Statistics can help the public better understand crimes of sexual violence and help researches spot trends and patterns.	1	0	0	1430000000
result	91	statistics	organic	http://www.worldofstatistics.org/	World of Statistics	The 6th Workshop on Biostatistics and Bioinformatics is scheduled to take place May 4-6, 2018, in Atlanta. Hosted by the Department of Mathematics and Statistics at Georgia State University, the goal of the workshop is to stimulate research and to foster the interaction of researchers in Biostatistics and Bioinformatics.	1	0	0	1430000000
result	92	statistics	organic	https://www.stats.ox.ac.uk/	Department of Statistics, University of Oxford	We welcome applications from students wishing to undertake Undergraduate and Postgraduate studies. Our postgraduate courses comprise the taught MSc in Statistical Science, MSc in Mathematical Sciences (joint with the Mathematical Institute), the MSc by Research in Statistics, and two doctoral programmes – the DPhil ...	1	0	0	1430000000
result	93	statistics	organic	https://medium.com/@kristianlum/statistics-we-have-a-problem-304638dc5de5	Statistics, we have a problem. – Kristian Lum – Medium	Dec 13, 2017 - Statistics, we have a problem. Recently, while browsing Twitter, I saw a few machine learning researchers post about an incident at one of their big conferences (NIPS) in which a band performing at the closing party made jokes about sexual assault. This is a band that is composed mostly of famous ...	1	0	0	1430000000
result	94	statistics	organic	https://statistics.columbian.gwu.edu/	The Department of Statistics | The George Washington University	Founded in 1935, GW's Department of Statistics was the first statistics department in a College of Arts and Sciences in the United States. We play a leading role in statistical education, research and applications, and many outstanding statisticians have served as department chair, including Dr. Frank Weida, Dr. Solomon ...	1	0	0	1430000000
result	95	statistics	organic	https://www.ncaa.com/stats/basketball-men/d1	DI Men's College Basketball - Stats | NCAA.com	Discover the current NCAA DI Men's College Basketball leaders in every statistical category, as well as historic leaders.	1	0	0	1430000000
result	96	statistics	organic	https://www.nature.com/articles/d41586-017-07522-z	Five ways to fix statistics - Nature	Nov 28, 2017 - As debate rumbles on about how and how much poor statistics is to blame for poor reproducibility, Nature asked influential statisticians to recommend one change to improve science. The common theme? The problem is not our maths, but ourselves.	1	0	0	1430000000
